AF,CD,41.78.196.0/22
AF,ZA,41.78.200.0/22
AF,NG,41.78.208.0/22
AF,ZA,41.78.212.0/22
AF,MW,41.78.216.0/22
AF,ZA,41.78.220.0/22
AF,NG,41.78.224.0/22
AF,ZA,41.78.228.0/22
AF,ZA,41.78.232.0/22
AF,CI,41.78.236.0/22
AF,GA,41.78.240.0/22
AF,ZA,41.78.244.0/22
AF,MW,41.78.248.0/22
AF,NG,41.78.252.0/22
AF,CI,41.79.0.0/22
AF,NG,41.79.4.0/22
AF,KE,41.79.8.0/22
AF,CI,41.79.12.0/22
AF,ZA,41.79.16.0/22
AF,ZA,41.79.20.0/22
AF,SS,41.79.24.0/22
AF,ZW,41.79.28.0/22
AF,BW,41.79.32.0/22
AF,ZA,41.79.36.0/22
AF,BI,41.79.44.0/22
AF,GQ,41.79.48.0/22
AF,ZW,41.79.56.0/22
AF,SC,41.79.60.0/22
AF,NG,41.79.64.0/22
AF,TZ,41.79.68.0/22
AF,ZA,41.79.72.0/22
AF,ZA,41.79.76.0/22
AF,ZA,41.79.80.0/22
AF,CI,41.79.84.0/22
AF,MW,41.79.88.0/22
AF,ZA,41.79.92.0/22
AF,GH,41.79.96.0/22
AF,CI,41.79.100.0/22
AF,ZA,41.79.104.0/22
AF,ZA,41.79.108.0/22
AF,CI,41.79.112.0/22
AF,NG,41.79.116.0/22
AF,SS,41.79.120.0/22
AF,CV,41.79.124.0/22
AF,MU,41.79.132.0/22
AF,BW,41.79.136.0/22
AF,CI,41.79.140.0/22
AF,ZA,41.79.148.0/22
AF,NG,41.79.152.0/22
AF,ZA,41.79.156.0/22
AF,ZA,41.79.160.0/22
AF,KE,41.79.168.0/22
AF,ZA,41.79.172.0/22
AF,ZA,41.79.180.0/22
AF,TZ,41.79.184.0/22
AF,ZW,41.79.188.0/22
AF,ZA,41.79.192.0/22
AF,SO,41.79.196.0/22
AF,GN,41.79.200.0/22
AF,NG,41.79.204.0/22
AF,EG,41.79.208.0/22
AF,ZA,41.79.212.0/22
AF,BJ,41.79.216.0/22
AF,ZA,41.79.220.0/22
AF,BI,41.79.224.0/22
AF,KE,41.79.228.0/22
AF,CD,41.79.232.0/22
AF,GN,41.79.236.0/22
AF,ZA,41.79.240.0/22
AF,MZ,41.79.244.0/22
AF,TZ,41.79.248.0/22
AF,ZA,41.79.252.0/22
AF,KE,41.80.0.0/15
AF,SN,41.82.0.0/15
AF,ZA,41.84.0.0/17
AF,MU,41.84.128.0/19
AF,CI,41.84.160.0/19
AF,UG,41.84.192.0/19
AF,SZ,41.84.224.0/19
AF,ZA,41.85.0.0/17
AF,ZA,41.85.128.0/19
AF,BJ,41.85.160.0/19
AF,ZW,41.85.192.0/19
AF,ZA,41.85.224.0/19
AF,LR,41.86.0.0/19
AF,SC,41.86.32.0/19
AF,ZA,41.86.96.0/19
AF,NG,41.86.128.0/19
AF,TZ,41.86.160.0/19
AF,BJ,41.86.224.0/19
AF,MW,41.87.0.0/19
AF,CI,41.87.32.0/19
AF,NG,41.87.64.0/19
AF,MU,41.87.96.0/19
AF,MA,41.87.128.0/19
AF,BW,41.87.160.0/19
AF,ZA,41.87.192.0/19
AF,ZA,41.87.224.0/19
AF,KE,41.89.0.0/16
AF,KE,41.90.0.0/16
AF,EG,41.91.0.0/16
AF,MA,41.92.0.0/17
AF,CM,41.92.128.0/21
AF,CM,41.92.152.0/21
AF,CM,41.92.180.0/22
AF,CM,41.92.184.0/22
AF,CM,41.92.196.0/22
AF,CM,41.92.200.0/22
AF,CM,41.92.208.0/21
AF,CM,41.92.216.0/22
AF,CM,41.92.224.0/24
AF,CM,41.92.248.0/21
AF,TZ,41.93.0.0/17
AF,MZ,41.94.0.0/16
AF,SD,41.95.0.0/16
AF,DZ,41.96.0.0/12
AF,ZA,41.112.0.0/12
AF,EG,41.128.0.0/14
AF,ZA,41.132.0.0/14
AF,MU,41.136.0.0/16
AF,MA,41.137.0.0/16
AF,NE,41.138.32.0/19
AF,ZA,41.138.64.0/21
AF,BW,41.138.72.0/21
AF,RW,41.138.80.0/21
AF,BJ,41.138.88.0/22
AF,ZA,41.138.92.0/22
AF,BF,41.138.96.0/19
AF,MR,41.138.128.0/19
AF,NG,41.138.160.0/19
AF,MZ,41.138.224.0/20
AF,KE,41.138.240.0/20
AF,GH,41.139.0.0/18
AF,CI,41.139.64.0/18
AF,KE,41.139.128.0/17
AF,MA,41.140.0.0/14
AF,ZA,41.144.0.0/13
AF,EG,41.152.0.0/15
AF,GH,41.155.0.0/17
AF,EG,41.155.128.0/17
AF,ZA,41.156.0.0/15
AF,GA,41.158.0.0/15
AF,MU,41.160.0.0/12
AF,EG,41.176.0.0/16
AF,ZA,41.177.0.0/16
AF,EG,41.178.0.0/16
AF,EG,41.179.0.0/16
AF,ZA,41.180.0.0/16
AF,ZA,41.181.0.0/16
AF,NA,41.182.0.0/16
AF,ZA,41.183.0.0/16
AF,NG,41.184.0.0/16
AF,ZA,41.185.0.0/16
AF,RW,41.186.0.0/16
AF,EG,41.187.0.0/16
AF,MG,41.188.0.0/18
AF,MR,41.188.64.0/18
AF,TZ,41.188.128.0/18
AF,ZA,41.188.192.0/18
AF,NG,41.189.0.0/19
AF,CI,41.189.32.0/19
AF,ZA,41.189.64.0/19
AF,CI,41.189.96.0/19
AF,CI,41.189.128.0/19
AF,GH,41.189.160.0/19
AF,CD,41.189.192.0/19
AF,DJ,41.189.224.0/19
AF,NG,41.190.0.0/19
AF,ZW,41.190.32.0/19
AF,GH,41.190.68.0/22
AF,CD,41.190.80.0/22
AF,NA,41.190.84.0/22
AF,GH,41.190.88.0/22
AF,MW,41.190.92.0/22
AF,NA,41.190.96.0/19
AF,MU,41.190.128.0/19
AF,CI,41.190.160.0/19
AF,CI,41.190.192.0/19
AF,CM,41.190.224.0/22
AF,CD,41.190.232.0/22
AF,MG,41.190.236.0/22
AF,CI,41.190.240.0/22
AF,BW,41.190.244.0/22
AF,EG,41.190.248.0/22
AF,CI,41.190.252.0/22
AF,CI,41.191.0.0/18
AF,BW,41.191.64.0/22
AF,CI,41.191.68.0/22
AF,MZ,41.191.72.0/22
AF,UG,41.191.76.0/22
AF,EG,41.191.80.0/22
AF,BJ,41.191.84.0/22
AF,ZA,41.191.88.0/22
AF,CI,41.191.92.0/22
AF,GH,41.191.96.0/22
AF,CM,41.191.100.0/22
AF,LR,41.191.104.0/22
AF,CI,41.191.108.0/22
AF,CI,41.191.112.0/22
AF,ZM,41.191.116.0/22
AF,SC,41.191.120.0/22
AF,ZA,41.191.124.0/22
AF,ZA,41.191.128.0/19
AF,KE,41.191.192.0/21
AF,LS,41.191.200.0/21
AF,CI,41.191.208.0/22
AF,MU,41.191.212.0/22
AF,BW,41.191.216.0/22
AF,GN,41.191.220.0/22
AF,MU,41.191.224.0/21
AF,ZW,41.191.232.0/21
AF,SL,41.191.248.0/22
AF,ZA,41.192.0.0/16
AF,ZA,41.193.0.0/16
AF,ZA,41.194.0.0/16
AF,ZA,41.195.0.0/16
AF,EG,41.196.0.0/16
AF,RW,41.197.0.0/16
AF,MU,41.198.0.0/20
AF,NA,41.198.16.0/20
AF,NA,41.198.32.0/19
AF,MU,41.198.64.0/18
AF,ZA,41.198.128.0/18
AF,MU,41.198.192.0/18
AF,EG,41.199.0.0/16
AF,DZ,41.200.0.0/15
